ID,label,set
00776.au,disco,train
00507.au,blues,train
00895.au,pop,train
00922.au,pop,train
00033.au,hiphop,train
00483.au,hiphop,train
00085.au,reggae,train
00750.au,classical,train
00354.au,country,train
00523.au,hiphop,train
00184.au,country,train
00809.au,jazz,train
00418.au,metal,train
00615.au,jazz,train
00682.au,blues,train
00501.au,metal,train
00760.au,jazz,train
00049.au,blues,train
00732.au,classical,train
00336.au,disco,train
00450.au,disco,train
00790.au,rock,train
00350.au,disco,train
00467.au,pop,train
00622.au,rock,train
00476.au,reggae,train
00614.au,jazz,train
00554.au,country,train
00365.au,reggae,train
00770.au,disco,train
00630.au,classical,train
00940.au,rock,train
00797.au,classical,train
00496.au,disco,train
00924.au,metal,train
00369.au,pop,train
00596.au,jazz,train
00720.au,pop,train
00053.au,classical,train
00426.au,jazz,train
00056.au,pop,train
00264.au,disco,train
00772.au,classical,train
00185.au,hiphop,train
00466.au,classical,train
00789.au,pop,train
00174.au,metal,train
00150.au,reggae,train
00741.au,hiphop,train
00113.au,country,train
00428.au,jazz,train
00965.au,metal,train
00018.au,pop,train
00189.au,disco,train
00414.au,hiphop,train
00589.au,rock,train
00666.au,blues,train
00763.au,blues,train
00221.au,hiphop,train
00586.au,metal,train
00581.au,blues,train
00299.au,jazz,train
00638.au,rock,train
00386.au,disco,train
00364.au,hiphop,train
00879.au,country,train
00334.au,classical,train
00016.au,reggae,train
00202.au,blues,train
00001.au,jazz,train
00038.au,jazz,train
00290.au,jazz,train
00493.au,country,train
00247.au,hiphop,train
00506.au,pop,train
00896.au,pop,train
00713.au,reggae,train
00891.au,jazz,train
00076.au,pop,train
00911.au,blues,train
00792.au,rock,train
00508.au,hiphop,train
00177.au,blues,train
00842.au,rock,train
00200.au,rock,train
00765.au,jazz,train
00909.au,jazz,train
00293.au,metal,train
00538.au,metal,train
00024.au,metal,train
00694.au,pop,train
00210.au,rock,train
00424.au,reggae,train
00528.au,classical,train
00034.au,country,train
00928.au,metal,train
00398.au,jazz,train
00607.au,rock,train
00298.au,hiphop,train
00848.au,reggae,train
00668.au,reggae,train
00282.au,country,train
00939.au,hiphop,train
00944.au,rock,train
00606.au,blues,train
00959.au,rock,train
00934.au,disco,train
00731.au,pop,train
00287.au,hiphop,train
00527.au,hiphop,train
00807.au,disco,train
00229.au,jazz,train
00436.au,classical,train
00028.au,disco,train
00374.au,disco,train
00819.au,classical,train
00316.au,metal,train
00560.au,metal,train
00241.au,classical,train
00149.au,pop,train
00516.au,hiphop,train
00417.au,blues,train
00660.au,pop,train
00198.au,classical,train
00585.au,reggae,train
00325.au,country,train
00823.au,hiphop,train
00702.au,pop,train
00949.au,rock,train
00515.au,classical,train
00864.au,pop,train
00836.au,hiphop,train
00877.au,reggae,train
00359.au,metal,train
00594.au,jazz,train
00788.au,rock,train
00188.au,rock,train
00066.au,country,train
00355.au,rock,train
00799.au,jazz,train
00902.au,disco,train
00920.au,hiphop,train
