epoch,train_loss,train_acc,val_loss,val_acc,lr,sec
1,1.516119,37.9583,0.615802,82.0000,1.99922904e-04,0.65
2,1.233822,50.2917,0.600842,87.0000,1.99691733e-04,0.16
3,1.128642,55.6562,0.575910,89.0000,1.99306846e-04,0.16
4,1.147280,48.6979,0.568292,88.0000,1.98768834e-04,0.25
5,1.048669,44.8958,0.515267,88.0000,1.98078528e-04,0.15
6,1.101584,48.1458,0.544011,88.0000,1.97236992e-04,0.15
7,1.123658,43.0417,0.534663,86.0000,1.96245524e-04,0.14
8,1.050301,41.4896,0.521658,87.0000,1.95105652e-04,0.15
9,1.064949,40.7917,0.508313,88.0000,1.93819134e-04,0.15
10,1.049906,43.8229,0.503428,90.0000,1.92387953e-04,0.15
11,1.039019,49.4375,0.504274,89.0000,1.90814317e-04,0.19
12,1.009780,52.1771,0.495099,90.0000,1.89100652e-04,0.15
13,1.050977,60.2292,0.468998,89.0000,1.87249601e-04,0.15
14,0.969757,53.5000,0.479811,89.0000,1.85264016e-04,0.15
15,1.033198,46.5625,0.516273,86.0000,1.83146961e-04,0.15
16,1.003791,50.8229,0.479720,88.0000,1.80901699e-04,0.15
17,1.031279,52.7292,0.488532,88.0000,1.78531693e-04,0.16
18,0.998307,56.6771,0.482262,87.0000,1.76040597e-04,0.15
19,0.964621,45.2812,0.465934,88.0000,1.73432251e-04,0.15
20,0.972590,50.3646,0.432742,90.0000,1.70710678e-04,0.15
21,0.997716,47.6146,0.461130,89.0000,1.67880075e-04,0.15
22,0.987662,53.8333,0.437300,91.0000,1.64944805e-04,0.16
23,0.970601,52.8125,0.423635,92.0000,1.61909395e-04,0.18
24,0.984908,44.6250,0.492427,90.0000,1.58778525e-04,0.14
25,0.895567,55.5104,0.437263,89.0000,1.55557023e-04,0.14
26,1.007000,56.6979,0.439136,89.0000,1.52249856e-04,0.16
27,0.898646,66.6354,0.413915,90.0000,1.48862124e-04,0.19
28,0.995466,52.7604,0.443742,89.0000,1.45399050e-04,0.16
29,0.890949,46.6250,0.424840,89.0000,1.41865974e-04,0.24
30,0.908620,54.6979,0.419364,91.0000,1.38268343e-04,0.15
31,0.941919,60.8542,0.433851,90.0000,1.34611706e-04,0.15
32,0.880355,58.9688,0.455225,89.0000,1.30901699e-04,0.15
33,0.885118,57.3125,0.444564,89.0000,1.27144045e-04,0.15
34,0.954239,48.4167,0.456559,89.0000,1.23344536e-04,0.15
35,0.885596,60.6354,0.457930,90.0000,1.19509032e-04,0.15
36,0.967537,52.6354,0.457474,89.0000,1.15643447e-04,0.14
37,0.909935,62.8125,0.446051,89.0000,1.11753740e-04,0.14
38,0.941336,58.1250,0.438064,90.0000,1.07845910e-04,0.14
39,0.904975,50.0000,0.456086,88.0000,1.03925982e-04,0.14
40,0.937350,39.9583,0.423935,89.0000,1.00000000e-04,0.14
41,0.900121,71.2396,0.432472,89.0000,9.60740184e-05,0.14
42,0.942162,51.2188,0.443807,89.0000,9.21540904e-05,0.14
43,0.911435,57.7917,0.445399,89.0000,8.82462603e-05,0.14
44,0.903613,65.5417,0.423391,89.0000,8.43565535e-05,0.14
45,0.919550,51.0208,0.442602,89.0000,8.04909678e-05,0.15
46,0.912118,68.9688,0.436931,89.0000,7.66554636e-05,0.15
47,0.909691,54.6042,0.410134,90.0000,7.28559550e-05,0.15
48,0.954540,52.3125,0.427827,90.0000,6.90983006e-05,0.15
49,0.903398,55.4792,0.425044,89.0000,6.53882943e-05,0.15
50,0.964077,45.8438,0.415819,89.0000,6.17316568e-05,0.15
51,0.959454,52.8542,0.407068,90.0000,5.81340262e-05,0.17
52,0.888021,59.4167,0.431290,90.0000,5.46009500e-05,0.15
53,0.918749,60.7396,0.428564,90.0000,5.11378759e-05,0.15
54,0.837541,52.1667,0.418735,90.0000,4.77501435e-05,0.15
55,0.847636,53.2188,0.423331,90.0000,4.44429767e-05,0.15
56,0.938993,46.4375,0.429374,90.0000,4.12214748e-05,0.15
57,0.937208,62.7188,0.417603,90.0000,3.80906051e-05,0.15
58,0.865537,57.5729,0.437206,89.0000,3.50551952e-05,0.15
59,0.903219,54.0000,0.433070,89.0000,3.21199254e-05,0.15
60,0.960819,47.3750,0.436173,89.0000,2.92893219e-05,0.15
