epoch,train_loss,train_acc,val_loss,val_acc,lr,sec
1,1.345274,37.9479,0.571485,83.0000,1.99922904e-04,0.38
2,0.970995,49.8438,0.536426,87.0000,1.99691733e-04,0.16
3,0.834432,55.3229,0.493537,88.0000,1.99306846e-04,0.16
4,0.862262,48.5312,0.494512,88.0000,1.98768834e-04,0.16
5,0.729357,44.7812,0.444953,88.0000,1.98078528e-04,0.15
6,0.808556,48.1146,0.467163,88.0000,1.97236992e-04,0.16
7,0.837890,42.9271,0.459239,86.0000,1.96245524e-04,0.15
8,0.740056,41.0833,0.445069,87.0000,1.95105652e-04,0.15
9,0.760670,40.8750,0.422395,89.0000,1.93819134e-04,0.18
10,0.737935,43.6458,0.408519,90.0000,1.92387953e-04,0.14
11,0.728935,49.1354,0.402880,89.0000,1.90814317e-04,0.14
12,0.694426,51.8021,0.432860,88.0000,1.89100652e-04,0.14
13,0.746418,60.0104,0.411824,87.0000,1.87249601e-04,0.15
14,0.639540,53.1875,0.418618,90.0000,1.85264016e-04,0.16
15,0.723886,46.2500,0.444411,87.0000,1.83146961e-04,0.14
16,0.685219,50.7188,0.411438,89.0000,1.80901699e-04,0.15
17,0.719208,52.5625,0.384461,88.0000,1.78531693e-04,0.15
18,0.679156,56.5104,0.407208,87.0000,1.76040597e-04,0.14
19,0.629291,45.2188,0.392422,87.0000,1.73432251e-04,0.14
20,0.642040,50.0313,0.380298,89.0000,1.70710678e-04,0.14
21,0.675464,47.5833,0.398083,88.0000,1.67880075e-04,0.15
22,0.659992,53.5729,0.370997,90.0000,1.64944805e-04,0.14
23,0.638370,52.7292,0.360520,90.0000,1.61909395e-04,0.15
24,0.664114,44.3021,0.413910,89.0000,1.58778525e-04,0.14
25,0.535845,55.3021,0.379444,87.0000,1.55557023e-04,0.14
26,0.688553,56.8021,0.377752,89.0000,1.52249856e-04,0.15
27,0.548239,66.5312,0.344504,89.0000,1.48862124e-04,0.15
28,0.672812,52.4792,0.383951,90.0000,1.45399050e-04,0.15
29,0.534946,46.5625,0.359381,88.0000,1.41865974e-04,0.24
30,0.559617,54.3750,0.349108,91.0000,1.38268343e-04,0.15
31,0.603047,60.7708,0.345876,90.0000,1.34611706e-04,0.15
32,0.520499,58.8958,0.376985,88.0000,1.30901699e-04,0.14
33,0.523557,57.1042,0.375658,88.0000,1.27144045e-04,0.15
34,0.611613,48.4792,0.372424,88.0000,1.23344536e-04,0.15
