epoch,train_loss,train_acc,val_loss,val_acc,lr,sec
1,1.324368,70.9062,0.582570,81.0000,1.99922904e-04,0.22
2,0.925580,83.5833,0.559567,88.0000,1.99691733e-04,0.16
3,0.862724,86.3542,0.532344,87.0000,1.99306846e-04,0.15
4,0.825939,87.9583,0.520347,88.0000,1.98768834e-04,0.15
5,0.801512,88.6979,0.487062,88.0000,1.98078528e-04,0.14
6,0.774282,89.9062,0.471846,90.0000,1.97236992e-04,0.14
7,0.755538,90.7292,0.485341,86.0000,1.96245524e-04,0.14
8,0.735140,92.0625,0.470630,87.0000,1.95105652e-04,0.15
9,0.723713,92.8229,0.459931,88.0000,1.93819134e-04,0.14
10,0.709155,93.2188,0.447063,87.0000,1.92387953e-04,0.14
11,0.697020,93.7083,0.438137,89.0000,1.90814317e-04,0.15
12,0.683723,94.6146,0.420889,90.0000,1.89100652e-04,0.15
13,0.676009,95.1562,0.418108,89.0000,1.87249601e-04,0.14
14,0.666328,95.4583,0.440043,89.0000,1.85264016e-04,0.15
15,0.661646,95.5104,0.448773,88.0000,1.83146961e-04,0.15
16,0.649246,96.3333,0.440649,87.0000,1.80901699e-04,0.15
17,0.643063,96.4167,0.419500,88.0000,1.78531693e-04,0.14
18,0.637019,96.6354,0.421477,88.0000,1.76040597e-04,0.14
19,0.633803,96.9375,0.421826,88.0000,1.73432251e-04,0.15
20,0.628183,97.2188,0.408657,89.0000,1.70710678e-04,0.15
21,0.620229,97.7083,0.428958,89.0000,1.67880075e-04,0.14
22,0.617808,97.8333,0.404202,89.0000,1.64944805e-04,0.14
23,0.614131,97.7812,0.394496,90.0000,1.61909395e-04,0.14
24,0.608541,98.1146,0.414827,89.0000,1.58778525e-04,0.14
25,0.608770,98.0104,0.406843,89.0000,1.55557023e-04,0.14
26,0.602943,98.3854,0.416692,89.0000,1.52249856e-04,0.15
27,0.599718,98.5312,0.402037,89.0000,1.48862124e-04,0.14
28,0.596813,98.5312,0.399684,89.0000,1.45399050e-04,0.14
29,0.595409,98.5729,0.413102,90.0000,1.41865974e-04,0.22
30,0.590897,98.8333,0.409023,89.0000,1.38268343e-04,0.14
31,0.588978,98.9167,0.400416,90.0000,1.34611706e-04,0.14
32,0.588073,98.7604,0.415639,89.0000,1.30901699e-04,0.14
33,0.584367,98.9375,0.410951,89.0000,1.27144045e-04,0.15
34,0.582666,98.9792,0.417198,90.0000,1.23344536e-04,0.14
35,0.579722,99.1875,0.406537,90.0000,1.19509032e-04,0.14
36,0.579919,99.1667,0.420723,89.0000,1.15643447e-04,0.14
37,0.577127,99.2812,0.424828,89.0000,1.11753740e-04,0.15
38,0.575953,99.2604,0.399856,90.0000,1.07845910e-04,0.15
39,0.574376,99.2812,0.404902,90.0000,1.03925982e-04,0.14
40,0.573152,99.3646,0.407504,90.0000,1.00000000e-04,0.16
41,0.571754,99.3229,0.413635,90.0000,9.60740184e-05,0.15
42,0.570898,99.4479,0.422311,90.0000,9.21540904e-05,0.14
43,0.569082,99.4688,0.411997,89.0000,8.82462603e-05,0.14
44,0.568003,99.4583,0.400811,90.0000,8.43565535e-05,0.14
45,0.568058,99.4688,0.410691,90.0000,8.04909678e-05,0.14
46,0.567571,99.5312,0.411523,90.0000,7.66554636e-05,0.15
47,0.565726,99.5833,0.406890,90.0000,7.28559550e-05,0.14
48,0.565557,99.4792,0.399947,90.0000,6.90983006e-05,0.14
49,0.564945,99.5208,0.404305,90.0000,6.53882943e-05,0.14
50,0.563712,99.5729,0.411743,90.0000,6.17316568e-05,0.14
51,0.563229,99.6146,0.406700,90.0000,5.81340262e-05,0.14
52,0.562221,99.5729,0.407498,90.0000,5.46009500e-05,0.14
53,0.562103,99.5729,0.411198,90.0000,5.11378759e-05,0.14
54,0.560974,99.6250,0.410307,90.0000,4.77501435e-05,0.15
55,0.560169,99.6146,0.409911,90.0000,4.44429767e-05,0.14
56,0.560398,99.6667,0.418130,90.0000,4.12214748e-05,0.14
57,0.560783,99.6146,0.404585,90.0000,3.80906051e-05,0.17
58,0.558565,99.6667,0.418162,90.0000,3.50551952e-05,0.17
59,0.558653,99.6771,0.417318,90.0000,3.21199254e-05,0.17
60,0.559067,99.6354,0.410683,90.0000,2.92893219e-05,0.16
61,0.557860,99.7396,0.412343,90.0000,2.65677491e-05,0.14
62,0.557755,99.6875,0.410309,90.0000,2.39594034e-05,0.15
63,0.557785,99.6250,0.412926,90.0000,2.14683069e-05,0.16
64,0.557659,99.6667,0.412204,90.0000,1.90983006e-05,0.15
65,0.557391,99.6562,0.413740,90.0000,1.68530388e-05,0.16
66,0.556832,99.7396,0.407750,90.0000,1.47359836e-05,0.15
