epoch,train_loss,train_acc,val_loss,val_acc,lr,sec
1,2.276456,15.2500,1.903463,49.0000,1.99922904e-04,0.18
2,1.953447,30.8750,1.573874,69.0000,1.99691733e-04,0.02
3,1.785681,45.8750,1.288528,76.0000,1.99306846e-04,0.02
4,1.546267,35.3750,1.089704,75.0000,1.98768834e-04,0.02
5,1.414753,51.1250,0.962262,79.0000,1.98078528e-04,0.01
6,1.369291,13.6250,0.855376,80.0000,1.97236992e-04,0.02
7,1.366255,31.8750,0.754253,80.0000,1.96245524e-04,0.02
8,1.180734,12.7500,0.747553,79.0000,1.95105652e-04,0.02
9,1.221441,47.2500,0.707214,81.0000,1.93819134e-04,0.02
10,1.417778,64.1250,0.685158,81.0000,1.92387953e-04,0.02
11,1.315562,56.2500,0.702716,82.0000,1.90814317e-04,0.01
12,1.212474,27.7500,0.684914,81.0000,1.89100652e-04,0.02
13,1.192486,58.1250,0.674076,81.0000,1.87249601e-04,0.01
14,1.185257,81.0000,0.683328,83.0000,1.85264016e-04,0.02
15,1.129045,35.3750,0.682187,80.0000,1.83146961e-04,0.02
16,1.278718,64.0000,0.674104,81.0000,1.80901699e-04,0.01
17,1.177830,53.3750,0.669766,79.0000,1.78531693e-04,0.01
18,1.203602,41.2500,0.674961,82.0000,1.76040597e-04,0.01
19,1.250246,52.5000,0.692072,82.0000,1.73432251e-04,0.01
20,1.048658,85.2500,0.665963,83.0000,1.70710678e-04,0.01
21,1.054493,62.2500,0.638964,84.0000,1.67880075e-04,0.02
22,1.203800,48.6250,0.638796,80.0000,1.64944805e-04,0.02
23,0.923216,35.0000,0.628866,81.0000,1.61909395e-04,0.02
24,1.194350,62.7500,0.629781,82.0000,1.58778525e-04,0.02
25,1.311892,47.1250,0.632601,81.0000,1.55557023e-04,0.02
26,1.105126,56.2500,0.626582,81.0000,1.52249856e-04,0.02
27,1.154052,39.5000,0.625131,82.0000,1.48862124e-04,0.02
28,0.982051,36.3750,0.627782,82.0000,1.45399050e-04,0.01
29,1.478406,65.3750,0.619522,82.0000,1.41865974e-04,0.01
30,0.996761,83.7500,0.620726,84.0000,1.38268343e-04,0.01
31,1.266185,38.8750,0.626808,84.0000,1.34611706e-04,0.02
32,0.927319,58.6250,0.626993,83.0000,1.30901699e-04,0.02
33,1.080534,83.6250,0.621521,84.0000,1.27144045e-04,0.02
34,1.281486,44.5000,0.616290,83.0000,1.23344536e-04,0.02
35,1.313888,44.2500,0.617746,83.0000,1.19509032e-04,0.01
36,1.284104,68.5000,0.612409,83.0000,1.15643447e-04,0.01
37,1.174427,37.1250,0.622159,82.0000,1.11753740e-04,0.01
38,0.895990,34.0000,0.626960,83.0000,1.07845910e-04,0.01
