epoch,train_loss,train_acc,val_loss,val_acc,lr,sec
1,1.045155,44.3542,0.451108,86.0000,1.99922904e-04,0.56
2,0.667234,50.6771,0.397826,89.0000,1.99691733e-04,0.27
3,0.553748,59.0208,0.347546,88.0000,1.99306846e-04,0.25
4,0.624677,50.0104,0.350764,91.0000,1.98768834e-04,0.24
5,0.578434,54.4583,0.385781,90.0000,1.98078528e-04,0.24
6,0.466300,60.2917,0.331763,91.0000,1.97236992e-04,0.26
7,0.538932,52.5937,0.323195,92.0000,1.96245524e-04,0.25
8,0.578494,58.0417,0.320596,93.0000,1.95105652e-04,0.26
9,0.571157,60.0312,0.343905,92.0000,1.93819134e-04,0.28
10,0.528164,57.9375,0.329754,91.0000,1.92387953e-04,0.24
11,0.495822,51.6354,0.299411,93.0000,1.90814317e-04,0.24
12,0.476074,61.9583,0.328111,92.0000,1.89100652e-04,0.23
13,0.462992,61.4062,0.351892,91.0000,1.87249601e-04,0.24
14,0.489334,58.4583,0.343607,92.0000,1.85264016e-04,0.24
15,0.470564,59.6771,0.322662,92.0000,1.83146961e-04,0.24
16,0.513854,52.2292,0.333237,92.0000,1.80901699e-04,0.28
17,0.504734,50.9271,0.336518,92.0000,1.78531693e-04,0.27
18,0.536074,55.1250,0.337698,91.0000,1.76040597e-04,0.25
19,0.472779,55.9271,0.310883,92.0000,1.73432251e-04,0.24
20,0.465055,48.7083,0.346750,92.0000,1.70710678e-04,0.23
21,0.471867,58.6458,0.311958,92.0000,1.67880075e-04,0.24
22,0.406360,53.3646,0.341961,92.0000,1.64944805e-04,0.24
23,0.434352,47.7292,0.320393,92.0000,1.61909395e-04,0.23
24,0.484507,52.1458,0.303605,92.0000,1.58778525e-04,0.24
25,0.466814,60.5521,0.326627,92.0000,1.55557023e-04,0.24
26,0.425793,57.3750,0.318663,92.0000,1.52249856e-04,0.24
27,0.481204,49.8333,0.366838,92.0000,1.48862124e-04,0.24
28,0.432837,45.9271,0.324226,92.0000,1.45399050e-04,0.23
29,0.476441,53.0104,0.321003,93.0000,1.41865974e-04,0.23
30,0.452368,62.7083,0.336161,92.0000,1.38268343e-04,0.24
31,0.458640,48.2083,0.345420,92.0000,1.34611706e-04,0.23
32,0.440130,65.0625,0.308423,92.0000,1.30901699e-04,0.23
33,0.412349,63.8021,0.333271,92.0000,1.27144045e-04,0.24
34,0.467878,56.7187,0.333541,92.0000,1.23344536e-04,0.26
35,0.441641,57.9688,0.307758,92.0000,1.19509032e-04,0.27
36,0.431540,47.5521,0.333971,92.0000,1.15643447e-04,0.24
37,0.459188,55.3021,0.353271,92.0000,1.11753740e-04,0.24
38,0.400541,53.2500,0.303705,92.0000,1.07845910e-04,0.24
39,0.411344,47.6667,0.311379,92.0000,1.03925982e-04,0.24
40,0.430183,59.8333,0.303185,93.0000,1.00000000e-04,0.24
41,0.427264,64.5104,0.303021,92.0000,9.60740184e-05,0.23
42,0.419353,54.4792,0.328460,92.0000,9.21540904e-05,0.27
43,0.404505,58.8854,0.311002,92.0000,8.82462603e-05,0.26
44,0.480033,56.8438,0.292548,92.0000,8.43565535e-05,0.27
45,0.445790,56.2604,0.315257,92.0000,8.04909678e-05,0.27
46,0.452898,52.0208,0.353320,92.0000,7.66554636e-05,0.24
47,0.429503,51.7500,0.303306,92.0000,7.28559550e-05,0.24
48,0.474933,55.5208,0.322061,92.0000,6.90983006e-05,0.23
49,0.454447,54.4375,0.318275,92.0000,6.53882943e-05,0.23
50,0.444539,56.2500,0.314883,92.0000,6.17316568e-05,0.25
51,0.460340,55.8958,0.320954,92.0000,5.81340262e-05,0.25
52,0.447159,47.5312,0.310574,92.0000,5.46009500e-05,0.25
53,0.482869,58.1042,0.311733,92.0000,5.11378759e-05,0.23
54,0.445993,65.9062,0.315262,92.0000,4.77501435e-05,0.26
55,0.500588,66.6146,0.312685,92.0000,4.44429767e-05,0.26
56,0.503068,50.8333,0.330902,92.0000,4.12214748e-05,0.25
57,0.491464,58.1771,0.348876,92.0000,3.80906051e-05,0.26
58,0.433960,58.9792,0.320716,92.0000,3.50551952e-05,0.25
59,0.393435,62.9167,0.342117,92.0000,3.21199254e-05,0.25
60,0.447464,56.5417,0.327429,92.0000,2.92893219e-05,0.24
61,0.413881,50.1979,0.311363,92.0000,2.65677491e-05,0.23
