ID,label
00776.au,disco
00507.au,blues
00895.au,pop
00922.au,pop
00033.au,hiphop
00483.au,hiphop
00085.au,reggae
00750.au,classical
00354.au,country
00523.au,hiphop
00184.au,country
00809.au,jazz
00418.au,metal
00615.au,jazz
00682.au,blues
00501.au,metal
00760.au,jazz
00049.au,blues
00732.au,classical
00336.au,disco
00450.au,disco
00790.au,rock
00350.au,disco
00467.au,pop
00622.au,rock
00476.au,reggae
00614.au,jazz
00554.au,country
00365.au,reggae
00770.au,disco
00630.au,classical
00940.au,rock
00797.au,classical
00496.au,disco
00924.au,metal
00369.au,pop
00596.au,jazz
00720.au,pop
00053.au,classical
00426.au,jazz
00056.au,pop
00264.au,disco
00772.au,classical
00185.au,hiphop
00466.au,classical
00789.au,pop
00174.au,metal
00150.au,reggae
00741.au,hiphop
00113.au,country
00428.au,jazz
00965.au,metal
00018.au,pop
00189.au,disco
00414.au,hiphop
00589.au,rock
00666.au,blues
00763.au,blues
00221.au,hiphop
00586.au,metal
00581.au,blues
00299.au,jazz
00638.au,rock
00386.au,disco
00364.au,hiphop
00879.au,country
00334.au,classical
00016.au,reggae
00202.au,blues
00001.au,jazz
00038.au,jazz
00290.au,jazz
00493.au,country
00247.au,hiphop
00506.au,pop
00896.au,pop
00713.au,reggae
00891.au,jazz
00076.au,pop
00911.au,blues
00792.au,rock
00508.au,hiphop
00177.au,blues
00842.au,rock
00200.au,rock
00765.au,jazz
00909.au,jazz
00293.au,metal
00538.au,metal
00024.au,metal
00694.au,pop
00210.au,rock
00424.au,reggae
00528.au,classical
00034.au,country
00928.au,metal
00398.au,jazz
00607.au,rock
00298.au,hiphop
00848.au,reggae
00668.au,reggae
00282.au,country
00939.au,hiphop
00944.au,rock
00606.au,blues
00959.au,rock
00934.au,disco
00731.au,pop
00287.au,hiphop
00527.au,hiphop
00807.au,disco
00229.au,jazz
00436.au,classical
00028.au,disco
00374.au,disco
00819.au,classical
00316.au,metal
00560.au,metal
00241.au,classical
00149.au,pop
00516.au,hiphop
00417.au,blues
00660.au,pop
00198.au,classical
00585.au,reggae
00325.au,country
00823.au,hiphop
00702.au,pop
00949.au,rock
00515.au,classical
00864.au,pop
00836.au,hiphop
00877.au,reggae
00359.au,metal
00594.au,jazz
00788.au,rock
00188.au,rock
00066.au,country
00355.au,rock
00799.au,jazz
00902.au,disco
00920.au,hiphop
00942.au,metal
00330.au,blues
00727.au,pop
00396.au,reggae
00463.au,rock
00393.au,blues
00311.au,jazz
00680.au,classical
00744.au,rock
00921.au,pop
00461.au,country
00522.au,metal
00631.au,reggae
00490.au,pop
00195.au,metal
00256.au,country
00693.au,pop
00740.au,blues
00577.au,blues
00157.au,classical
00612.au,country
00392.au,country
00969.au,reggae
00688.au,blues
00361.au,disco
00816.au,blues
00401.au,disco
00092.au,hiphop
00917.au,reggae
00489.au,hiphop
00451.au,disco
00251.au,disco
00653.au,country
00769.au,reggae
00670.au,jazz
00129.au,jazz
00637.au,hiphop
00991.au,reggae
00342.au,country
00308.au,disco
00136.au,classical
00088.au,jazz
00327.au,hiphop
00475.au,pop
00981.au,disco
00850.au,jazz
00892.au,blues
00375.au,rock
00178.au,metal
00026.au,metal
00349.au,rock
00499.au,hiphop
00474.au,blues
00617.au,metal
00697.au,hiphop
00050.au,hiphop
00211.au,jazz
00381.au,blues
00883.au,pop
00173.au,classical
00147.au,disco
00419.au,reggae
00961.au,blues
00148.au,country
00975.au,country
00079.au,classical
00775.au,country
00302.au,disco
00995.au,country
00525.au,classical
00774.au,classical
00231.au,country
00625.au,disco
00800.au,disco
00561.au,hiphop
00509.au,disco
00840.au,jazz
00494.au,blues
00119.au,blues
00477.au,reggae
00144.au,pop
00029.au,reggae
00910.au,hiphop
00121.au,disco
00605.au,country
00061.au,country
00871.au,rock
00572.au,jazz
00005.au,hiphop
00926.au,rock
00639.au,pop
00439.au,metal
00729.au,blues
00193.au,hiphop
00752.au,disco
00626.au,classical
00571.au,country
00017.au,hiphop
00742.au,jazz
00914.au,rock
00510.au,reggae
00573.au,rock
00138.au,disco
00191.au,country
00004.au,disco
00443.au,reggae
00020.au,hiphop
00213.au,classical
00064.au,disco
00411.au,blues
00301.au,jazz
00333.au,disco
00192.au,disco
00664.au,pop
00262.au,reggae
00647.au,country
00810.au,metal
00232.au,metal
00795.au,blues
00681.au,rock
00804.au,blues
00482.au,country
00360.au,hiphop
00838.au,rock
00236.au,reggae
00627.au,pop
00957.au,pop
00582.au,rock
00272.au,classical
00201.au,blues
00013.au,metal
00427.au,pop
00239.au,classical
00084.au,classical
00532.au,reggae
00172.au,hiphop
00289.au,reggae
00485.au,classical
00329.au,country
00683.au,metal
00318.au,blues
00454.au,jazz
00249.au,classical
00846.au,hiphop
00279.au,hiphop
00455.au,country
00901.au,classical
00761.au,hiphop
00547.au,blues
00180.au,disco
00557.au,reggae
00628.au,metal
00423.au,metal
00843.au,country
00010.au,classical
00199.au,disco
00425.au,jazz
00534.au,blues
00031.au,hiphop
00579.au,country
00404.au,reggae
00277.au,blues
00444.au,hiphop
00771.au,rock
00372.au,classical
00722.au,rock
00400.au,rock
00078.au,pop
00537.au,disco
00575.au,blues
00548.au,pop
00710.au,metal
00041.au,country
00885.au,country
00632.au,jazz
00858.au,metal
00139.au,reggae
00385.au,blues
00456.au,pop
00932.au,jazz
00813.au,reggae
00140.au,blues
00624.au,blues
00320.au,hiphop
00708.au,classical
00457.au,country
00873.au,rock
00326.au,pop
00126.au,rock
00132.au,rock
00817.au,pop
00397.au,disco
00915.au,reggae
00993.au,classical
00415.au,country
00595.au,pop
00258.au,reggae
00313.au,pop
00409.au,hiphop
00162.au,metal
00304.au,hiphop
00286.au,country
00644.au,metal
00635.au,reggae
00353.au,classical
00068.au,classical
00678.au,classical
00833.au,metal
00935.au,blues
00679.au,pop
00719.au,jazz
00237.au,metal
00265.au,rock
00090.au,pop
00835.au,blues
00862.au,classical
00054.au,disco
00657.au,blues
00943.au,disco
00406.au,country
00380.au,pop
00124.au,metal
00491.au,jazz
00802.au,pop
00900.au,pop
00430.au,disco
00945.au,disco
00703.au,hiphop
00294.au,hiphop
00878.au,rock
00212.au,reggae
00918.au,classical
00037.au,pop
00860.au,jazz
00898.au,pop
00125.au,country
00023.au,hiphop
00839.au,jazz
00976.au,metal
00101.au,country
00115.au,reggae
00435.au,jazz
00950.au,disco
00120.au,jazz
00384.au,jazz
00047.au,blues
00171.au,hiphop
00317.au,rock
00324.au,metal
00880.au,pop
00263.au,hiphop
00145.au,disco
00043.au,classical
00504.au,country
00086.au,blues
00376.au,rock
00530.au,rock
00984.au,metal
00851.au,pop
00345.au,metal
00403.au,classical
00226.au,metal
00987.au,classical
00164.au,metal
00335.au,rock
00600.au,rock
00916.au,country
00472.au,disco
00447.au,jazz
00107.au,pop
00856.au,blues
00155.au,hiphop
00458.au,reggae
00280.au,country
00207.au,pop
00154.au,metal
00587.au,country
00757.au,jazz
00985.au,reggae
00383.au,hiphop
00801.au,pop
00648.au,pop
00806.au,hiphop
00536.au,metal
00503.au,rock
00737.au,rock
00559.au,country
00544.au,blues
00356.au,rock
00206.au,pop
00888.au,blues
00611.au,classical
00711.au,metal
00531.au,metal
00259.au,classical
00153.au,jazz
00852.au,reggae
00063.au,disco
00434.au,pop
00339.au,country
00513.au,hiphop
00748.au,country
00487.au,rock
00524.au,disco
00893.au,blues
00952.au,classical
00186.au,reggae
00673.au,reggae
00343.au,country
00377.au,blues
00903.au,disco
00368.au,hiphop
00568.au,disco
00275.au,reggae
00690.au,disco
00266.au,classical
00782.au,blues
00937.au,hiphop
00533.au,pop
00022.au,disco
00542.au,blues
00097.au,metal
00295.au,rock
00460.au,jazz
00197.au,jazz
00707.au,pop
00261.au,pop
00310.au,jazz
00979.au,classical
00160.au,jazz
00402.au,disco
00539.au,blues
00176.au,pop
00726.au,metal
00793.au,country
00818.au,rock
00778.au,classical
00756.au,metal
00297.au,classical
00091.au,classical
00929.au,metal
00449.au,pop
00645.au,rock
00014.au,pop
00480.au,country
00996.au,reggae
00868.au,country
00431.au,classical
00695.au,pop
00502.au,metal
00260.au,reggae
00328.au,rock
00179.au,rock
00564.au,reggae
00395.au,jazz
00495.au,jazz
00035.au,disco
00442.au,jazz
00927.au,blues
00659.au,blues
00636.au,jazz
00098.au,country
00337.au,metal
00012.au,disco
00684.au,reggae
00116.au,country
00446.au,rock
00407.au,metal
00815.au,pop
00312.au,jazz
00358.au,jazz
00471.au,blues
00204.au,metal
00227.au,metal
00481.au,rock
00039.au,hiphop
00391.au,rock
00110.au,reggae
00832.au,jazz
00812.au,rock
00962.au,rock
00421.au,disco
00340.au,disco
00183.au,reggae
00997.au,country
00422.au,reggae
00181.au,country
00904.au,blues
00861.au,pop
00649.au,blues
00745.au,pop
00700.au,disco
00105.au,jazz
00919.au,pop
00651.au,jazz
00366.au,blues
00619.au,hiphop
00905.au,disco
00315.au,rock
00042.au,reggae
00130.au,rock
00440.au,hiphop
00151.au,country
00588.au,disco
00036.au,metal
00152.au,hiphop
00676.au,pop
00960.au,reggae
00601.au,blues
00437.au,blues
00452.au,blues
00785.au,blues
00268.au,jazz
00133.au,disco
00341.au,blues
00803.au,blues
00045.au,reggae
00283.au,hiphop
00652.au,rock
00948.au,rock
00052.au,classical
00821.au,classical
00779.au,jazz
00977.au,jazz
00599.au,jazz
00208.au,reggae
00351.au,pop
00215.au,reggae
00288.au,blues
00278.au,country
00953.au,blues
00820.au,jazz
00109.au,jazz
00118.au,classical
00941.au,country
00137.au,metal
00106.au,disco
00306.au,disco
00972.au,pop
00008.au,disco
00822.au,jazz
00309.au,pop
00556.au,disco
00743.au,hiphop
00634.au,reggae
00291.au,classical
00378.au,country
00889.au,rock
00629.au,reggae
00357.au,rock
00712.au,blues
